"State","District","Date","Year","Month","Avg_smlvl_at15cm","Agency_name"
"Andaman & Nicobar","Nicobars","2023-06-01","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-02","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-03","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-04","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-05","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-06","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-07","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-08","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-09","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-10","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-11","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-12","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-13","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-14","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-15","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-16","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-17","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-18","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-19","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-20","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","Nicobars","2023-06-21","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-01","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-02","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-03","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-04","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-05","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-06","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-07","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-08","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-09","2023","06","NA","NRSC VIC MODEL"
"Andaman & Nicobar","North And Middle Andaman","2023-06-10","2023","06","NA","NRSC VIC MODEL"
