Month,Year,OIL_COMPANIES,Quantity,last_updated
July,2022,"BPCL-KOCHI, KERALA",1423.65,24-06-2023
July,2022,HPCL-TOTAL,2669.81,24-06-2023
August,2022,"IOCL-KOYALI, GUJARAT",1277.89,24-06-2023
August,2022,"IOCL-HALDIA, WEST BENGAL",708.57,24-06-2023
August,2022,"IOCL-GUWAHATI,ASSAM",91.19,24-06-2023
August,2022,"IOCL-BONGAIGAON,ASSAM",248.88,24-06-2023
August,2022,"NRL-NUMALIGARH, ASSAM",264.33,24-06-2023
August,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1019.7,24-06-2023
August,2022,HPCL-TOTAL,2342.38,24-06-2023
August,2022,RIL TOTAL,5176.59,24-06-2023
September,2022,"IOCL-PANIPAT, HARYANA",1153.66,24-06-2023
September,2022,"BPCL-KOCHI, KERALA",1155.88,24-06-2023
September,2022,BORL-BINA,650.73,24-06-2023
September,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.82,24-06-2023
September,2022,"HMEL-GGSR, BATHINDA, PUNJAB",932.59,24-06-2023
September,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",1838.73,24-06-2023
September,2022,RIL TOTAL,4622.84,24-06-2023
October,2022,"IOCL-KOYALI, GUJARAT",1323.4,24-06-2023
October,2022,IOCL TOTAL,6245.22,24-06-2023
October,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",7.55,24-06-2023
October,2022,"MRPL-MANGALORE,KARNATAKA",1493.47,24-06-2023
October,2022,"HPCL-MUMBAI,MAHARASHTRA",761.39,24-06-2023
March,2022,"IOCL-MATHURA, UTTAR PRADESH",884,24-06-2023
March,2022,"IOCL-PANIPAT, HARYANA",1285,24-06-2023
March,2022,"IOCL-PARADIP,ODISHA",1383,24-06-2023
March,2022,"BPCL-MUMBAI, MAHARASHTRA",1268,24-06-2023
March,2022,GRAND TOTAL,22337,24-06-2023
April,2020,"IOCL-KOYALI, GUJARAT",578,24-06-2023
April,2020,"IOCL-PARADIP,ODISHA",725,24-06-2023
May,2020,"IOCL-KOYALI, GUJARAT",769,24-06-2023
May,2020,"IOCL-PANIPAT, HARYANA",919,24-06-2023
May,2020,"IOCL-BONGAIGAON,ASSAM",196,24-06-2023
May,2020,IOCL TOTAL,4311,24-06-2023
May,2020,"BPCL-MUMBAI, MAHARASHTRA",907,24-06-2023
May,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",6,24-06-2023
May,2020,ONGC TOTAL,572,24-06-2023
May,2020,"HMEL-GGSR, BATHINDA, PUNJAB",653,24-06-2023
May,2020,"RIL,JAMNAGAR,GUJARAT",2762,24-06-2023
May,2020,RIL TOTAL,5312,24-06-2023
May,2020,"NEL-VADINAR,GUJARAT",1561,24-06-2023
June,2020,"IOCL-HALDIA, WEST BENGAL",533,24-06-2023
June,2020,"IOCL-MATHURA, UTTAR PRADESH",769,24-06-2023
November,2021,"IOCL-BONGAIGAON,ASSAM",217,24-06-2023
November,2021,"BPCL-MUMBAI, MAHARASHTRA",1294,24-06-2023
November,2021,"BPCL-KOCHI, KERALA",1429,24-06-2023
November,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7,24-06-2023
November,2021,"HPCL-MUMBAI,MAHARASHTRA",545,24-06-2023
November,2021,RIL TOTAL,5448,24-06-2023
December,2021,"IOCL-PARADIP,ODISHA",1330,24-06-2023
December,2021,IOCL TOTAL,5905,24-06-2023
December,2021,"MRPL-MANGALORE,KARNATAKA",1434,24-06-2023
December,2021,"HPCL-MUMBAI,MAHARASHTRA",674,24-06-2023
December,2021,GRAND TOTAL,21483,24-06-2023
January,2022,"IOCL-MATHURA, UTTAR PRADESH",746,24-06-2023
January,2022,"BPCL-MUMBAI, MAHARASHTRA",1303,24-06-2023
January,2022,BORL-BINA,722,24-06-2023
January,2022,HPCL-TOTAL,2745,24-06-2023
January,2022,"NEL-VADINAR,GUJARAT",1733,24-06-2023
February,2022,"IOCL-MATHURA, UTTAR PRADESH",781,24-06-2023
February,2022,"IOCL-PANIPAT, HARYANA",1122,24-06-2023
February,2022,ONGC TOTAL,1399,24-06-2023
April,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6.05,24-06-2023
April,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1039.86,24-06-2023
May,2022,"IOCL-DIGBOI,ASSAM",62.26,24-06-2023
May,2022,"IOCL-BONGAIGAON,ASSAM",182.52,24-06-2023
May,2022,"MRPL-MANGALORE,KARNATAKA",1415.2,24-06-2023
May,2022,ONGC TOTAL,1421.98,24-06-2023
May,2022,"RIL,JAMNAGAR,GUJARAT",3123.94,24-06-2023
May,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2547.25,24-06-2023
June,2022,"IOCL-MATHURA, UTTAR PRADESH",867.72,24-06-2023
June,2022,"BPCL-MUMBAI, MAHARASHTRA",881.71,24-06-2023
June,2022,"NRL-NUMALIGARH, ASSAM",240.56,24-06-2023
June,2022,"MRPL-MANGALORE,KARNATAKA",1428.97,24-06-2023
June,2022,ONGC TOTAL,1435.69,24-06-2023
June,2022,RIL TOTAL,5361.9,24-06-2023
July,2022,"IOCL-MATHURA, UTTAR PRADESH",714.64,24-06-2023
July,2022,"IOCL-GUWAHATI,ASSAM",93.18,24-06-2023
July,2022,CPCL-TOTAL,975.07,24-06-2023
July,2022,"BPCL-MUMBAI, MAHARASHTRA",689.36,24-06-2023
June,2020,"NRL-NUMALIGARH, ASSAM",250,24-06-2023
July,2020,"IOCL-MATHURA, UTTAR PRADESH",754,24-06-2023
July,2020,IOCL TOTAL,5363,24-06-2023
July,2020,"NRL-NUMALIGARH, ASSAM",219,24-06-2023
July,2020,BPCL-TOTAL,2571,24-06-2023
August,2020,IOCL TOTAL,3950,24-06-2023
August,2020,"BPCL-MUMBAI, MAHARASHTRA",828,24-06-2023
August,2020,BPCL-TOTAL,2440,24-06-2023
August,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",7,24-06-2023
August,2020,"HPCL-MUMBAI,MAHARASHTRA",658,24-06-2023
August,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1047,24-06-2023
August,2020,HPCL-TOTAL,2357,24-06-2023
August,2020,RIL TOTAL,4390,24-06-2023
August,2020,GRAND TOTAL,16150,24-06-2023
September,2020,"IOCL-BONGAIGAON,ASSAM",189,24-06-2023
September,2020,"BPCL-KOCHI, KERALA",980,24-06-2023
September,2020,BPCL-TOTAL,2577,24-06-2023
October,2022,RIL TOTAL,4691.26,24-06-2023
November,2022,"IOCL-MATHURA, UTTAR PRADESH",836.84,24-06-2023
November,2022,BPCL-TOTAL,3289.21,24-06-2023
November,2022,"NRL-NUMALIGARH, ASSAM",247,24-06-2023
December,2022,"IOCL-GUWAHATI,ASSAM",73.44,24-06-2023
December,2022,BORL-BINA,712.61,24-06-2023
December,2022,"RIL,JAMNAGAR,GUJARAT",2840.86,24-06-2023
December,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2467.05,24-06-2023
January,2023,"IOCL-BARAUNI,BIHAR",602.13,24-06-2023
January,2023,IOCL TOTAL,6541.94,24-06-2023
January,2023,BORL-BINA,678.71,24-06-2023
January,2023,BPCL-TOTAL,3601.99,24-06-2023
January,2023,"MRPL-MANGALORE,KARNATAKA",1496.59,24-06-2023
January,2023,"RIL,JAMNAGAR,GUJARAT",2848,24-06-2023
January,2023,"RIL-(SEZ), JAMNAGAR,GUJARAT",2542.8,24-06-2023
April,2021,IOCL TOTAL,5980,24-06-2023
August,2021,"IOCL-KOYALI, GUJARAT",1090,24-06-2023
August,2021,"NRL-NUMALIGARH, ASSAM",212,24-06-2023
August,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",7,24-06-2023
August,2021,"NEL-VADINAR,GUJARAT",1710,24-06-2023
September,2021,"IOCL-BONGAIGAON,ASSAM",219,24-06-2023
October,2021,"IOCL-KOYALI, GUJARAT",939,24-06-2023
October,2021,"IOCL-PANIPAT, HARYANA",1315,24-06-2023
October,2021,"IOCL-BONGAIGAON,ASSAM",215,24-06-2023
October,2021,"IOCL-PARADIP,ODISHA",877,24-06-2023
October,2021,"BPCL-MUMBAI, MAHARASHTRA",1110,24-06-2023
October,2021,ONGC TOTAL,1469,24-06-2023
October,2021,RIL TOTAL,5754,24-06-2023
October,2021,"NEL-VADINAR,GUJARAT",1749,24-06-2023
November,2021,"IOCL-MATHURA, UTTAR PRADESH",852,24-06-2023
November,2021,"IOCL-PANIPAT, HARYANA",1340,24-06-2023
April,2021,"NRL-NUMALIGARH, ASSAM",221,24-06-2023
April,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1059,24-06-2023
May,2021,"HPCL-MUMBAI,MAHARASHTRA",119,24-06-2023
May,2021,HPCL-TOTAL,1958,24-06-2023
May,2021,RIL TOTAL,5515,24-06-2023
June,2021,"IOCL-KOYALI, GUJARAT",1072,24-06-2023
June,2021,"IOCL-PANIPAT, HARYANA",1213,24-06-2023
June,2021,"NRL-NUMALIGARH, ASSAM",193,24-06-2023
June,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",6,24-06-2023
July,2021,"IOCL-DIGBOI,ASSAM",60,24-06-2023
July,2021,"BPCL-KOCHI, KERALA",1087,24-06-2023
July,2021,"HPCL-MUMBAI,MAHARASHTRA",319,24-06-2023
January,2021,"IOCL-PARADIP,ODISHA",1206,24-06-2023
January,2021,"BPCL-MUMBAI, MAHARASHTRA",1320,24-06-2023
January,2021,"BPCL-KOCHI, KERALA",1573,24-06-2023
January,2021,BPCL-TOTAL,3837,24-06-2023
January,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",8,24-06-2023
January,2021,"RIL,JAMNAGAR,GUJARAT",2916,24-06-2023
February,2021,"IOCL-KOYALI, GUJARAT",912,24-06-2023
February,2021,"IOCL-HALDIA, WEST BENGAL",657,24-06-2023
February,2021,"NRL-NUMALIGARH, ASSAM",227,24-06-2023
February,2021,"HPCL-VISAKH,ANDHRA PRADESH",737,24-06-2023
February,2021,"HMEL-GGSR, BATHINDA, PUNJAB",13,24-06-2023
February,2021,GRAND TOTAL,18617,24-06-2023
March,2021,"IOCL-KOYALI, GUJARAT",944,24-06-2023
March,2021,"IOCL-PANIPAT, HARYANA",1192,24-06-2023
March,2021,"IOCL-BONGAIGAON,ASSAM",230,24-06-2023
March,2021,"BPCL-KOCHI, KERALA",1383,24-06-2023
March,2021,"NRL-NUMALIGARH, ASSAM",241,24-06-2023
March,2021,BPCL-TOTAL,3603,24-06-2023
March,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",8,24-06-2023
March,2021,"RIL,JAMNAGAR,GUJARAT",2839,24-06-2023
March,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2051,24-06-2023
September,2020,ONGC TOTAL,820,24-06-2023
October,2020,"IOCL-KOYALI, GUJARAT",1049,24-06-2023
October,2020,"IOCL-HALDIA, WEST BENGAL",585,24-06-2023
October,2020,"IOCL-BONGAIGAON,ASSAM",222,24-06-2023
October,2020,"IOCL-PARADIP,ODISHA",1279,24-06-2023
October,2020,CPCL-TOTAL,725,24-06-2023
October,2020,BORL-BINA,561,24-06-2023
October,2020,"NRL-NUMALIGARH, ASSAM",232,24-06-2023
October,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038,24-06-2023
October,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2441,24-06-2023
October,2020,"NEL-VADINAR,GUJARAT",563,24-06-2023
October,2020,GRAND TOTAL,18389,24-06-2023
November,2020,"IOCL-BARAUNI,BIHAR",579,24-06-2023
November,2020,"IOCL-PARADIP,ODISHA",1325,24-06-2023
November,2020,"BPCL-MUMBAI, MAHARASHTRA",1247,24-06-2023
November,2020,ONGC TOTAL,1018,24-06-2023
December,2020,CPCL-TOTAL,766,24-06-2023
December,2020,"NRL-NUMALIGARH, ASSAM",260,24-06-2023
December,2020,ONGC TOTAL,1314,24-06-2023
December,2020,"RIL,JAMNAGAR,GUJARAT",2996,24-06-2023
December,2020,RIL TOTAL,5688,24-06-2023
December,2020,GRAND TOTAL,21024,24-06-2023
January,2021,"IOCL-BARAUNI,BIHAR",589,24-06-2023
October,2022,GRAND TOTAL,20413.63,24-06-2023
November,2022,"IOCL-GUWAHATI,ASSAM",89.34,24-06-2023
November,2022,"HPCL-MUMBAI,MAHARASHTRA",820.12,24-06-2023
November,2022,HPCL-TOTAL,2599.45,24-06-2023
November,2022,RIL TOTAL,5233.71,24-06-2023
December,2022,"IOCL-PARADIP,ODISHA",1416.58,24-06-2023
December,2022,IOCL TOTAL,6161.15,24-06-2023
December,2022,CPCL-TOTAL,960.42,24-06-2023
December,2022,"BPCL-KOCHI, KERALA",1506.63,24-06-2023
December,2022,BPCL-TOTAL,3563.35,24-06-2023
December,2022,"MRPL-MANGALORE,KARNATAKA",1504.05,24-06-2023
December,2022,"HPCL-VISAKH,ANDHRA PRADESH",818.38,24-06-2023
December,2022,HPCL-TOTAL,2785.38,24-06-2023
December,2022,"NEL-VADINAR,GUJARAT",1712.08,24-06-2023
January,2023,"IOCL-HALDIA, WEST BENGAL",704.67,24-06-2023
January,2023,"IOCL-PANIPAT, HARYANA",1334.66,24-06-2023
January,2023,"IOCL-GUWAHATI,ASSAM",94.01,24-06-2023
January,2023,"IOCL-PARADIP,ODISHA",1425.16,24-06-2023
January,2023,ONGC TOTAL,1503.17,24-06-2023
January,2023,"HPCL-MUMBAI,MAHARASHTRA",837.69,24-06-2023
January,2023,RIL TOTAL,5390.8,24-06-2023
January,2023,"NEL-VADINAR,GUJARAT",1719.37,24-06-2023
January,2023,GRAND TOTAL,22809.58,24-06-2023
April,2021,"IOCL-MATHURA, UTTAR PRADESH",819,24-06-2023
April,2021,"IOCL-PANIPAT, HARYANA",1322,24-06-2023
April,2021,"IOCL-GUWAHATI,ASSAM",62,24-06-2023
April,2021,"IOCL-PARADIP,ODISHA",1332,24-06-2023
April,2021,CPCL-TOTAL,760,24-06-2023
April,2021,BPCL-TOTAL,3236,24-06-2023
April,2021,ONGC TOTAL,1107,24-06-2023
April,2021,"HPCL-VISAKH,ANDHRA PRADESH",826,24-06-2023
April,2021,HPCL-TOTAL,1926,24-06-2023
April,2021,"RIL,JAMNAGAR,GUJARAT",2773,24-06-2023
April,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2248,24-06-2023
April,2021,"NEL-VADINAR,GUJARAT",1633,24-06-2023
April,2021,GRAND TOTAL,19885,24-06-2023
May,2021,"IOCL-PANIPAT, HARYANA",1156,24-06-2023
May,2021,"IOCL-GUWAHATI,ASSAM",,24-06-2023
May,2021,"IOCL-DIGBOI,ASSAM",61,24-06-2023
May,2021,IOCL TOTAL,5380,24-06-2023
May,2021,"RIL-(SEZ), JAMNAGAR,GUJARAT",2678,24-06-2023
June,2021,"IOCL-HALDIA, WEST BENGAL",606,24-06-2023
June,2021,"IOCL-GUWAHATI,ASSAM",,24-06-2023
June,2021,BORL-BINA,425,24-06-2023
June,2021,"MRPL-MANGALORE,KARNATAKA",1010,24-06-2023
June,2021,RIL TOTAL,5219,24-06-2023
June,2021,GRAND TOTAL,18400,24-06-2023
July,2021,"IOCL-BARAUNI,BIHAR",569,24-06-2023
July,2021,"IOCL-MATHURA, UTTAR PRADESH",665,24-06-2023
July,2021,"IOCL-GUWAHATI,ASSAM",,24-06-2023
July,2021,"IOCL-BONGAIGAON,ASSAM",226,24-06-2023
July,2021,IOCL TOTAL,5668,24-06-2023
July,2021,CPCL-TOTAL,819,24-06-2023
July,2021,"NRL-NUMALIGARH, ASSAM",227,24-06-2023
July,2021,"ONGC-TATIPAKA,ANDHRA PRADESH",3,24-06-2023
July,2021,"MRPL-MANGALORE,KARNATAKA",1105,24-06-2023
February,2022,"HPCL-MUMBAI,MAHARASHTRA",748,24-06-2023
February,2022,"HPCL-VISAKH,ANDHRA PRADESH",761,24-06-2023
February,2022,"RIL,JAMNAGAR,GUJARAT",2777,24-06-2023
February,2022,"RIL-(SEZ), JAMNAGAR,GUJARAT",2013,24-06-2023
March,2022,"IOCL-KOYALI, GUJARAT",1338,24-06-2023
March,2022,"IOCL-HALDIA, WEST BENGAL",747,24-06-2023
March,2022,"IOCL-GUWAHATI,ASSAM",93,24-06-2023
March,2022,CPCL-TOTAL,1062,24-06-2023
March,2022,BORL-BINA,704,24-06-2023
March,2022,"NRL-NUMALIGARH, ASSAM",188,24-06-2023
March,2022,ONGC TOTAL,1510,24-06-2023
March,2022,"RIL,JAMNAGAR,GUJARAT",3056,24-06-2023
March,2022,RIL TOTAL,5129,24-06-2023
April,2020,"IOCL-HALDIA, WEST BENGAL",305,24-06-2023
April,2020,"IOCL-GUWAHATI,ASSAM",,24-06-2023
April,2020,CPCL-TOTAL,308,24-06-2023
April,2020,"ONGC-TATIPAKA,ANDHRA PRADESH",2,24-06-2023
April,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2523,24-06-2023
May,2020,"IOCL-PARADIP,ODISHA",959,24-06-2023
May,2020,"BPCL-KOCHI, KERALA",676,24-06-2023
May,2020,"NRL-NUMALIGARH, ASSAM",206,24-06-2023
May,2020,BPCL-TOTAL,2229,24-06-2023
May,2020,HPCL-TOTAL,1920,24-06-2023
May,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2550,24-06-2023
April,2022,"IOCL-PANIPAT, HARYANA",1172.27,24-06-2023
April,2022,"MRPL-MANGALORE,KARNATAKA",1480.97,24-06-2023
April,2022,HPCL-TOTAL,2569.16,24-06-2023
May,2022,IOCL TOTAL,6422.41,24-06-2023
May,2022,"BPCL-MUMBAI, MAHARASHTRA",1256.55,24-06-2023
May,2022,"BPCL-KOCHI, KERALA",1431.85,24-06-2023
May,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1111.19,24-06-2023
May,2022,RIL TOTAL,5671.18,24-06-2023
May,2022,"NEL-VADINAR,GUJARAT",1725.51,24-06-2023
May,2022,GRAND TOTAL,22643.9,24-06-2023
June,2022,"IOCL-KOYALI, GUJARAT",1314.78,24-06-2023
June,2022,"IOCL-PANIPAT, HARYANA",1253.85,24-06-2023
June,2022,"IOCL-GUWAHATI,ASSAM",92.08,24-06-2023
June,2022,"IOCL-BONGAIGAON,ASSAM",185.65,24-06-2023
June,2022,"IOCL-PARADIP,ODISHA",1263.58,24-06-2023
June,2022,IOCL TOTAL,6276.8,24-06-2023
June,2022,BPCL-TOTAL,2895.38,24-06-2023
June,2022,HPCL-TOTAL,2712.01,24-06-2023
June,2022,"NEL-VADINAR,GUJARAT",1679.61,24-06-2023
July,2022,"IOCL-HALDIA, WEST BENGAL",722.08,24-06-2023
July,2022,"IOCL-PARADIP,ODISHA",1346.24,24-06-2023
November,2021,IOCL TOTAL,5982,24-06-2023
November,2021,"MRPL-MANGALORE,KARNATAKA",1468,24-06-2023
November,2021,"HPCL-VISAKH,ANDHRA PRADESH",819,24-06-2023
December,2021,"IOCL-BARAUNI,BIHAR",602,24-06-2023
December,2021,BORL-BINA,657,24-06-2023
December,2021,BPCL-TOTAL,3321,24-06-2023
January,2022,"IOCL-KOYALI, GUJARAT",1273,24-06-2023
January,2022,"IOCL-PANIPAT, HARYANA",1221,24-06-2023
January,2022,"IOCL-DIGBOI,ASSAM",59,24-06-2023
January,2022,"IOCL-PARADIP,ODISHA",1325,24-06-2023
January,2022,"BPCL-KOCHI, KERALA",1450,24-06-2023
January,2022,"HPCL-MUMBAI,MAHARASHTRA",852,24-06-2023
January,2022,RIL TOTAL,5277,24-06-2023
February,2022,"IOCL-BARAUNI,BIHAR",529,24-06-2023
February,2022,"IOCL-HALDIA, WEST BENGAL",630,24-06-2023
February,2022,"IOCL-BONGAIGAON,ASSAM",181,24-06-2023
February,2022,CPCL-TOTAL,928,24-06-2023
February,2022,"BPCL-MUMBAI, MAHARASHTRA",1236,24-06-2023
February,2022,"ONGC-TATIPAKA,ANDHRA PRADESH",6,24-06-2023
February,2022,"MRPL-MANGALORE,KARNATAKA",1392,24-06-2023
July,2021,HPCL-TOTAL,1898,24-06-2023
August,2021,IOCL TOTAL,4904,24-06-2023
August,2021,"BPCL-MUMBAI, MAHARASHTRA",1286,24-06-2023
August,2021,"HPCL-VISAKH,ANDHRA PRADESH",479,24-06-2023
August,2021,RIL TOTAL,5110,24-06-2023
September,2021,"IOCL-HALDIA, WEST BENGAL",642,24-06-2023
September,2021,"IOCL-DIGBOI,ASSAM",60,24-06-2023
September,2021,"BPCL-MUMBAI, MAHARASHTRA",957,24-06-2023
September,2021,BORL-BINA,579,24-06-2023
September,2021,"HMEL-GGSR, BATHINDA, PUNJAB",1079,24-06-2023
October,2021,"IOCL-DIGBOI,ASSAM",61,24-06-2023
October,2021,CPCL-TOTAL,500,24-06-2023
October,2021,BORL-BINA,658,24-06-2023
October,2021,"HPCL-MUMBAI,MAHARASHTRA",535,24-06-2023
July,2022,"MRPL-MANGALORE,KARNATAKA",1428.36,24-06-2023
August,2022,"IOCL-DIGBOI,ASSAM",61.16,24-06-2023
August,2022,CPCL-TOTAL,940.43,24-06-2023
August,2022,GRAND TOTAL,19533.7,24-06-2023
September,2022,IOCL TOTAL,5088.28,24-06-2023
September,2022,"MRPL-MANGALORE,KARNATAKA",1329.62,24-06-2023
October,2022,"IOCL-BARAUNI,BIHAR",568.94,24-06-2023
October,2022,"IOCL-HALDIA, WEST BENGAL",724.58,24-06-2023
October,2022,CPCL-TOTAL,723.13,24-06-2023
October,2022,"BPCL-KOCHI, KERALA",581.02,24-06-2023
October,2022,BORL-BINA,705.16,24-06-2023
October,2022,ONGC TOTAL,1501.02,24-06-2023
October,2022,"HMEL-GGSR, BATHINDA, PUNJAB",1114.49,24-06-2023
October,2022,HPCL-TOTAL,2663.38,24-06-2023
September,2020,"RIL-(SEZ), JAMNAGAR,GUJARAT",2230,24-06-2023
October,2020,"IOCL-PANIPAT, HARYANA",1237,24-06-2023
October,2020,BPCL-TOTAL,2910,24-06-2023
October,2020,ONGC TOTAL,738,24-06-2023
November,2020,"IOCL-KOYALI, GUJARAT",1124,24-06-2023
November,2020,"IOCL-PANIPAT, HARYANA",1359,24-06-2023
November,2020,IOCL TOTAL,6210,24-06-2023
November,2020,CPCL-TOTAL,729,24-06-2023
November,2020,BORL-BINA,594,24-06-2023
November,2020,"HMEL-GGSR, BATHINDA, PUNJAB",1038,24-06-2023
December,2020,"IOCL-DIGBOI,ASSAM",58,24-06-2023
December,2020,IOCL TOTAL,5988,24-06-2023
December,2020,HPCL-TOTAL,2311,24-06-2023
January,2021,"IOCL-MATHURA, UTTAR PRADESH",893,24-06-2023
January,2021,"IOCL-PANIPAT, HARYANA",1321,24-06-2023
January,2021,"MRPL-MANGALORE,KARNATAKA",1420,24-06-2023
January,2021,"NEL-VADINAR,GUJARAT",1545,24-06-2023
January,2021,GRAND TOTAL,21809,24-06-2023
February,2021,"IOCL-BARAUNI,BIHAR",518,24-06-2023
February,2021,"IOCL-MATHURA, UTTAR PRADESH",790,24-06-2023
February,2021,BPCL-TOTAL,3503,24-06-2023
